depth,tempdepth,temp,EdZTilt,EdZRoll,EdZPitch,Ed0Tilt,Ed0Roll,Ed0Pitch
2.746885,3.099885,21.47854,3.741122,3.146803,-2.027343,-3.426752,-2.656917,2.167225
2.755451,3.108451,21.48024,3.98325,3.146803,-2.447027,-3.516642,-2.656917,2.307119
2.764157,3.117157,21.48079,4.107814,3.076806,-2.726888,-3.365605,-2.516986,2.23717
2.772507,3.125507,21.47233,4.298022,3.076806,-3.006814,-3.211997,-2.307119,2.23717
2.780894,3.133894,21.48159,4.548824,3.076806,-3.356823,-3.365605,-2.516986,2.23717
2.788685,3.141685,21.47263,4.660156,3.006814,-3.566888,-3.16223,-2.23717,2.23717
2.796471,3.149471,21.4811,4.83457,2.936826,-3.84705,-2.966337,-2.027343,2.167225
2.805426,3.158426,21.47075,4.905445,2.866842,-3.987165,-3.113239,-2.167225,2.23717
2.812621,3.165621,21.48669,4.84886,2.866842,-3.917104,-2.966337,-2.027343,2.167225
2.82001,3.17301,21.47186,4.681303,2.866842,-3.706957,-2.881265,-1.817544,2.23717
2.827939,3.180939,21.48191,4.561828,2.936826,-3.496861,-2.837762,-1.747616,2.23717
2.835301,3.188301,21.48861,4.455766,2.936826,-3.356823,-2.795328,-1.677691,2.23717
2.842141,3.195141,21.48233,4.304901,2.866842,-3.216805,-2.783021,-1.747616,2.167225
2.848952,3.201952,21.47856,4.201666,2.866842,-3.076806,-2.44516,-1.25819,2.097282
2.855515,3.208515,21.47832,4.001897,2.866842,-2.796863,-2.314906,-1.118372,2.027343
2.861537,3.214537,21.47962,3.721617,2.866842,-2.377071,-2.385482,-1.25819,2.027343
2.868363,3.221363,21.49072,3.536157,2.796863,-2.167225,-2.253942,-1.118372,1.957407
2.874099,3.227099,21.48582,3.372492,2.796863,-1.887474,-2.031752,-0.9086576,1.817544
2.879936,3.232936,21.47419,3.285588,2.866842,-1.607768,-2.097921,-1.048466,1.817544
